파일,충방전,판정,시점,label,규칙_예측,RF_예측,PCA_예측,PCA_이상점수_Q,PCA_이상점수_T2
Test03_OK_chg,충전,OK,32,0,0,0,1,0.0596,101.2603
Test03_OK_chg,충전,OK,33,0,0,0,1,0.0736,108.1357
Test03_OK_chg,충전,OK,34,0,0,0,1,0.3173,106.2147
Test03_OK_chg,충전,OK,35,0,0,0,1,0.0735,108.0103
Test03_OK_chg,충전,OK,36,0,0,0,1,0.4199,102.0701
Test03_OK_chg,충전,OK,37,0,0,0,1,0.0724,108.2089
Test03_OK_chg,충전,OK,38,0,0,0,1,0.3092,107.9944
Test03_OK_chg,충전,OK,39,0,0,0,1,0.0734,107.4873
Test03_OK_chg,충전,OK,40,0,0,0,1,0.3195,107.6991
Test03_OK_chg,충전,OK,41,0,0,0,1,0.0671,100.0656
Test03_OK_chg,충전,OK,42,0,0,0,1,0.0709,100.5067
Test03_OK_chg,충전,OK,43,0,0,0,1,0.0737,107.6619
Test03_OK_chg,충전,OK,44,0,0,0,1,6.0896,141.4139
Test03_OK_chg,충전,OK,45,0,0,0,1,0.058,101.0521
Test03_OK_chg,충전,OK,46,0,0,0,1,0.0562,101.213
Test03_OK_chg,충전,OK,47,0,0,0,1,0.0593,101.0257
Test03_OK_chg,충전,OK,48,0,0,0,1,0.0734,107.7636
Test03_OK_chg,충전,OK,49,0,0,0,1,0.1055,94.7323
Test03_OK_chg,충전,OK,50,0,0,0,1,0.0986,94.8375
Test03_OK_chg,충전,OK,51,0,0,0,1,0.092,94.9702
Test03_OK_chg,충전,OK,52,0,0,0,1,0.0966,95.413
Test03_OK_chg,충전,OK,53,0,0,0,1,0.1024,94.9268
Test03_OK_chg,충전,OK,54,0,0,0,1,0.0923,94.7083
Test03_OK_chg,충전,OK,55,0,0,0,1,0.3187,107.6058
Test03_OK_chg,충전,OK,56,0,1,1,1,151.8963,778.4409
Test03_OK_chg,충전,OK,57,0,0,1,1,0.0607,417.99
Test03_OK_chg,충전,OK,58,0,0,1,1,0.8318,97.3927
Test03_OK_chg,충전,OK,59,0,0,0,1,0.5604,80.6743
Test03_OK_chg,충전,OK,60,0,0,0,1,0.1021,87.6901
Test03_OK_chg,충전,OK,61,0,0,0,1,0.0408,85.5041
Test03_OK_chg,충전,OK,62,0,0,0,1,0.2271,78.8738
Test03_OK_chg,충전,OK,63,0,0,1,1,0.0177,80.7655
Test03_OK_chg,충전,OK,64,0,0,1,1,0.4805,74.818
Test03_OK_chg,충전,OK,65,0,0,0,1,0.5302,87.5
Test03_OK_chg,충전,OK,66,0,1,0,1,0.3435,30.5543
Test03_OK_chg,충전,OK,67,0,0,1,1,0.1088,85.9775
Test03_OK_chg,충전,OK,68,0,0,1,1,0.0046,80.7569
Test03_OK_chg,충전,OK,69,0,0,1,1,0.7472,85.0471
Test03_OK_chg,충전,OK,70,0,1,0,1,7.0979,35.503
Test03_OK_chg,충전,OK,71,0,0,0,1,0.2978,90.5167
Test03_OK_chg,충전,OK,72,0,0,1,1,0.0216,84.9711
Test03_OK_chg,충전,OK,73,0,0,0,1,0.0371,83.9789
Test03_OK_chg,충전,OK,74,0,0,0,1,0.0698,91.4161
Test03_OK_chg,충전,OK,75,0,0,0,1,0.0497,80.6837
Test03_OK_chg,충전,OK,76,0,0,0,1,0.2263,91.483
Test03_OK_chg,충전,OK,77,0,0,0,1,0.0716,88.0163
Test03_OK_chg,충전,OK,78,0,0,0,1,0.0129,90.7787
Test03_OK_chg,충전,OK,79,0,0,1,1,0.1106,89.515
Test03_OK_chg,충전,OK,80,0,0,1,1,0.4597,94.6051
Test03_OK_chg,충전,OK,81,0,0,0,1,0.1021,89.2157
Test03_OK_chg,충전,OK,82,0,0,1,1,0.114,41.6849
Test03_OK_chg,충전,OK,83,0,0,1,1,6.715,32.7887
Test03_OK_chg,충전,OK,84,0,1,0,1,1.2933,29.657
Test03_OK_chg,충전,OK,85,0,1,0,1,3.559,36.5064
Test03_OK_chg,충전,OK,86,0,1,1,1,0.6734,30.8586
Test03_OK_chg,충전,OK,87,0,1,0,1,7.0406,66.7721
Test03_OK_chg,충전,OK,88,0,0,1,1,0.2348,84.5088
Test03_OK_chg,충전,OK,89,0,0,0,1,0.2181,48.1045
Test03_OK_chg,충전,OK,90,0,1,0,1,2.9506,39.5673
Test03_OK_chg,충전,OK,91,0,0,0,1,0.0756,83.3362
Test03_OK_chg,충전,OK,92,0,0,0,1,0.1691,85.5358
Test03_OK_chg,충전,OK,93,0,1,0,1,2.3275,39.8338
Test03_OK_chg,충전,OK,94,0,0,1,1,0.0251,88.2582
Test03_OK_chg,충전,OK,95,0,0,1,1,0.0571,78.6198
Test03_OK_chg,충전,OK,96,0,0,0,1,0.0226,82.7564
Test03_OK_chg,충전,OK,97,0,0,0,1,0.1526,94.5838
Test03_OK_chg,충전,OK,98,0,0,1,1,0.1277,96.7694
Test03_OK_chg,충전,OK,99,0,0,0,1,0.0325,87.647
Test03_OK_chg,충전,OK,100,0,0,0,1,0.0151,90.2273
Test03_OK_chg,충전,OK,101,0,0,0,1,0.194,91.402
Test03_OK_chg,충전,OK,102,0,1,0,1,0.4622,47.0443
Test03_OK_chg,충전,OK,103,0,1,0,1,0.2306,40.7012
Test03_OK_chg,충전,OK,104,0,0,0,1,0.2571,45.8294
Test03_OK_chg,충전,OK,105,0,0,0,1,0.3303,78.7104
Test03_OK_chg,충전,OK,106,0,0,0,1,0.6499,78.1659
Test03_OK_chg,충전,OK,107,0,1,1,1,0.182,48.5118
Test03_OK_chg,충전,OK,108,0,0,0,1,0.0248,83.4113
Test03_OK_chg,충전,OK,109,0,0,0,1,0.3281,80.7361
Test03_OK_chg,충전,OK,110,0,0,0,1,0.1644,42.4856
Test03_OK_chg,충전,OK,111,0,0,1,1,0.5096,87.9878
Test03_OK_chg,충전,OK,112,0,0,0,1,2.6729,32.2418
Test03_OK_chg,충전,OK,113,0,0,1,1,0.1955,74.7914
Test03_OK_chg,충전,OK,114,0,0,0,1,0.6415,90.345
Test03_OK_chg,충전,OK,115,0,1,1,1,2.2605,40.2493
Test03_OK_chg,충전,OK,116,0,0,0,1,0.5932,78.6744
Test03_OK_chg,충전,OK,117,0,0,0,1,0.1554,86.047
Test03_OK_chg,충전,OK,118,0,0,1,1,0.2075,80.6921
Test03_OK_chg,충전,OK,119,0,0,0,1,0.0014,83.8652
Test03_OK_chg,충전,OK,120,0,0,0,1,0.5978,88.3865
Test03_OK_chg,충전,OK,121,0,0,0,1,0.4707,85.8038
Test03_OK_chg,충전,OK,122,0,0,1,1,0.1896,40.1839
Test03_OK_chg,충전,OK,123,0,0,1,1,4.4005,35.7346
Test03_OK_chg,충전,OK,124,0,0,0,1,0.1821,78.5253
Test03_OK_chg,충전,OK,125,0,0,0,1,0.2435,84.7747
Test03_OK_chg,충전,OK,126,0,0,0,1,0.4997,74.9149
Test03_OK_chg,충전,OK,127,0,0,1,1,0.0833,39.3333
Test03_OK_chg,충전,OK,128,0,0,0,1,0.2216,87.0629
Test03_OK_chg,충전,OK,129,0,0,0,1,1.2429,92.9629
Test03_OK_chg,충전,OK,130,0,1,0,1,0.8292,38.3587
Test03_OK_chg,충전,OK,131,0,1,0,1,0.4615,30.0177
Test03_OK_chg,충전,OK,132,0,0,0,1,11.3763,30.4809
Test03_OK_chg,충전,OK,133,0,0,1,1,1.1322,91.4185
Test03_OK_chg,충전,OK,134,0,0,0,1,0.1784,78.9803
Test03_OK_chg,충전,OK,135,0,0,0,1,0.0849,40.7598
Test03_OK_chg,충전,OK,136,0,0,0,1,0.235,77.4937
Test03_OK_chg,충전,OK,137,0,0,0,1,0.1161,41.1794
Test03_OK_chg,충전,OK,138,0,0,1,1,0.7666,86.4173
Test03_OK_chg,충전,OK,139,0,0,1,1,0.0856,82.8636
Test03_OK_chg,충전,OK,140,0,0,0,1,0.1258,79.2188
Test03_OK_chg,충전,OK,141,0,1,0,1,0.1298,39.522
Test03_OK_chg,충전,OK,142,0,1,0,1,2.0432,30.976
Test03_OK_chg,충전,OK,143,0,0,1,1,0.1417,36.8618
Test03_OK_chg,충전,OK,144,0,0,0,1,0.1345,36.3748
Test03_OK_chg,충전,OK,145,0,0,0,1,0.2849,72.3805
Test03_OK_chg,충전,OK,146,0,1,0,1,0.6623,37.315
Test03_OK_chg,충전,OK,147,0,0,0,1,0.1564,43.2841
Test03_OK_chg,충전,OK,148,0,0,0,1,0.3215,79.9553
Test03_OK_chg,충전,OK,149,0,1,1,1,0.2247,39.3741
Test03_OK_chg,충전,OK,150,0,1,0,1,0.5987,32.5086
Test03_OK_chg,충전,OK,151,0,0,0,1,0.0773,79.5719
Test03_OK_chg,충전,OK,152,0,1,0,1,0.6538,35.7018
Test03_OK_chg,충전,OK,153,0,0,0,1,1.1408,87.7261
Test03_OK_chg,충전,OK,154,0,0,0,1,0.5275,72.2667
Test03_OK_chg,충전,OK,155,0,1,0,1,0.7398,37.1514
Test03_OK_chg,충전,OK,156,0,1,0,1,1.1806,29.4094
Test03_OK_chg,충전,OK,157,0,0,0,1,0.1489,82.2459
Test03_OK_chg,충전,OK,158,0,0,0,1,0.2117,80.4415
Test03_OK_chg,충전,OK,159,0,0,1,1,10.7879,35.5932
Test03_OK_chg,충전,OK,160,0,0,0,1,0.1724,47.1202
Test03_OK_chg,충전,OK,161,0,0,1,1,0.1589,41.2725
Test03_OK_chg,충전,OK,162,0,0,0,1,1.1031,86.4741
Test03_OK_chg,충전,OK,163,0,1,1,1,0.5875,35.94
Test03_OK_chg,충전,OK,164,0,0,1,1,0.234,84.3256
Test03_OK_chg,충전,OK,165,0,1,1,1,0.4915,38.2587
Test03_OK_chg,충전,OK,166,0,0,0,1,0.0462,80.2404
Test03_OK_chg,충전,OK,167,0,0,0,1,0.0059,84.4169
Test03_OK_chg,충전,OK,168,0,0,0,1,0.3033,83.8829
Test03_OK_chg,충전,OK,169,0,0,0,1,0.4465,73.2341
Test03_OK_chg,충전,OK,170,0,0,1,1,1.2502,84.4243
Test03_OK_chg,충전,OK,171,0,0,0,1,0.0599,80.2712
Test03_OK_chg,충전,OK,172,0,0,0,1,0.2073,75.0239
Test03_OK_chg,충전,OK,173,0,0,1,1,0.1428,82.3832
Test03_OK_chg,충전,OK,174,0,0,1,1,0.0549,39.7778
Test03_OK_chg,충전,OK,175,0,0,0,1,0.0759,88.7407
Test03_OK_chg,충전,OK,176,0,0,0,1,0.0285,83.3511
Test03_OK_chg,충전,OK,177,0,1,0,1,11.0537,41.1266
Test03_OK_chg,충전,OK,178,0,0,1,1,0.1845,84.5844
Test03_OK_chg,충전,OK,179,0,1,0,1,1.7617,36.1357
Test03_OK_chg,충전,OK,180,0,0,0,1,0.289,41.2346
Test03_OK_chg,충전,OK,181,0,1,0,1,0.4417,37.9167
Test03_OK_chg,충전,OK,182,0,0,0,1,2.0115,25.4784
Test03_OK_chg,충전,OK,183,0,1,1,1,1.1026,31.6681
Test03_OK_chg,충전,OK,184,0,0,1,1,0.2568,69.7717
Test03_OK_chg,충전,OK,185,0,0,1,1,0.2745,71.9381
Test03_OK_chg,충전,OK,186,0,0,0,1,0.2882,45.8595
Test03_OK_chg,충전,OK,187,0,0,0,1,0.0537,88.8625
Test03_OK_chg,충전,OK,188,0,0,1,1,1.3443,83.4562
Test03_OK_chg,충전,OK,189,0,0,1,1,0.5761,68.15
Test03_OK_chg,충전,OK,190,0,0,0,1,0.1532,75.9404
Test03_OK_chg,충전,OK,191,0,1,0,1,0.9285,26.3872
Test03_OK_chg,충전,OK,192,0,0,0,1,0.2775,72.3583
Test03_OK_chg,충전,OK,193,0,1,0,1,0.7028,39.6461
Test03_OK_chg,충전,OK,194,0,0,0,1,0.174,79.7223
Test03_OK_chg,충전,OK,195,0,0,0,1,0.0781,91.4893
Test03_OK_chg,충전,OK,196,0,0,0,1,0.0976,83.0633
Test03_OK_chg,충전,OK,197,0,0,1,1,0.5758,72.4208
Test03_OK_chg,충전,OK,198,0,1,1,1,2.0386,41.1557
Test03_OK_chg,충전,OK,199,0,0,0,1,0.481,78.8241
Test03_OK_chg,충전,OK,200,0,0,0,1,0.1548,38.9785
Test03_OK_chg,충전,OK,201,0,0,1,1,0.3758,42.6256
Test03_OK_chg,충전,OK,202,0,0,1,1,0.0792,81.6824
Test03_OK_chg,충전,OK,203,0,0,0,1,2.9734,25.486
Test03_OK_chg,충전,OK,204,0,0,0,1,0.1957,39.503
Test03_OK_chg,충전,OK,205,0,0,1,1,0.0672,78.3122
Test03_OK_chg,충전,OK,206,0,0,0,1,0.728,79.6156
Test03_OK_chg,충전,OK,207,0,0,0,1,0.2379,40.4264
Test03_OK_chg,충전,OK,208,0,0,0,1,0.7264,80.178
Test03_OK_chg,충전,OK,209,0,1,1,1,0.846,36.4961
Test03_OK_chg,충전,OK,210,0,0,1,1,0.8676,88.4851
Test03_OK_chg,충전,OK,211,0,0,1,1,0.1019,76.414
Test03_OK_chg,충전,OK,212,0,0,1,1,0.3522,69.0729
Test03_OK_chg,충전,OK,213,0,0,1,1,0.1441,32.1756
Test03_OK_chg,충전,OK,214,0,0,1,1,0.1287,33.6132
Test03_OK_chg,충전,OK,215,0,0,1,1,0.1245,33.2129
Test03_OK_chg,충전,OK,216,0,0,1,1,0.4306,65.5884
Test03_OK_chg,충전,OK,217,0,0,1,1,0.248,35.4907
Test03_OK_chg,충전,OK,218,0,0,0,1,0.1978,73.7528
Test03_OK_chg,충전,OK,219,0,0,0,1,0.1255,80.7312
Test03_OK_chg,충전,OK,220,0,0,0,1,0.2239,71.6484
Test03_OK_chg,충전,OK,221,0,0,0,1,0.0821,67.699
Test03_OK_chg,충전,OK,222,0,0,1,1,0.1457,34.8807
Test03_OK_chg,충전,OK,223,0,0,1,1,0.1643,78.1024
Test03_OK_chg,충전,OK,224,0,1,0,1,0.3698,28.0058
Test03_OK_chg,충전,OK,225,0,0,0,1,8.8883,31.0457
Test03_OK_chg,충전,OK,226,0,0,0,1,2.7033,25.9459
Test03_OK_chg,충전,OK,227,0,0,0,1,0.0736,76.8748
Test03_OK_chg,충전,OK,228,0,0,0,1,0.0585,78.6585
Test03_OK_chg,충전,OK,229,0,1,0,1,1.0513,29.4218
Test03_OK_chg,충전,OK,230,0,0,0,1,0.3921,70.1496
Test03_OK_chg,충전,OK,231,0,0,0,1,0.2393,35.3862
Test03_OK_chg,충전,OK,232,0,0,0,1,0.1286,38.3148
Test03_OK_chg,충전,OK,233,0,0,0,1,1.7991,26.7059
Test03_OK_chg,충전,OK,234,0,1,0,1,5.5478,33.4193
Test03_OK_chg,충전,OK,235,0,0,1,1,0.1597,79.0408
Test03_OK_chg,충전,OK,236,0,0,0,1,1.9726,88.3327
Test03_OK_chg,충전,OK,237,0,0,1,1,0.2184,86.509
Test03_OK_chg,충전,OK,238,0,0,0,1,0.4317,69.4399
Test03_OK_chg,충전,OK,239,0,0,0,1,0.1,73.0186
Test03_OK_chg,충전,OK,240,0,0,0,1,0.3826,36.8687
Test03_OK_chg,충전,OK,241,0,1,0,1,7.0153,69.5444
Test03_OK_chg,충전,OK,242,0,0,1,1,0.1087,43.0831
Test03_OK_chg,충전,OK,243,0,1,1,1,0.5688,34.0511
Test03_OK_chg,충전,OK,244,0,1,1,1,0.3064,27.2464
Test03_OK_chg,충전,OK,245,0,0,0,1,0.1272,37.6111
Test03_OK_chg,충전,OK,246,0,0,0,1,0.2229,39.3005
Test03_OK_chg,충전,OK,247,0,0,1,1,0.1469,84.6598
Test03_OK_chg,충전,OK,248,0,0,1,1,0.1457,69.8154
Test03_OK_chg,충전,OK,249,0,0,0,1,0.6112,63.0014
Test03_OK_chg,충전,OK,250,0,1,0,1,0.4359,33.548
Test03_OK_chg,충전,OK,251,0,0,0,1,0.1824,38.2954
Test03_OK_chg,충전,OK,252,0,0,1,1,0.3584,76.4407
Test03_OK_chg,충전,OK,253,0,1,1,1,0.5596,33.4527
Test03_OK_chg,충전,OK,254,0,0,0,1,0.2341,73.0245
Test03_OK_chg,충전,OK,255,0,0,0,1,0.8579,70.7781
Test03_OK_chg,충전,OK,256,0,0,0,1,3.3087,28.1366
Test03_OK_chg,충전,OK,257,0,0,0,1,0.106,70.4916
Test03_OK_chg,충전,OK,258,0,1,0,1,0.9056,32.4801
Test03_OK_chg,충전,OK,259,0,0,0,1,0.1516,73.6984
Test03_OK_chg,충전,OK,260,0,1,0,1,0.6216,28.0177
Test03_OK_chg,충전,OK,261,0,0,1,1,0.1659,73.564
Test03_OK_chg,충전,OK,262,0,0,0,1,0.3209,73.8582
Test03_OK_chg,충전,OK,263,0,0,0,1,0.1381,74.5614
Test03_OK_chg,충전,OK,264,0,0,0,1,0.1821,79.5227
Test03_OK_chg,충전,OK,265,0,0,1,1,0.3279,78.9162
Test03_OK_chg,충전,OK,266,0,0,0,1,0.2123,67.7018
Test03_OK_chg,충전,OK,267,0,0,0,1,0.2519,66.5367
Test03_OK_chg,충전,OK,268,0,0,0,1,0.2026,69.5728
Test03_OK_chg,충전,OK,269,0,0,1,1,0.248,71.8808
Test03_OK_chg,충전,OK,270,0,0,0,1,0.2187,36.996
Test03_OK_chg,충전,OK,271,0,0,0,1,0.1071,73.1593
Test03_OK_chg,충전,OK,272,0,0,0,1,0.5965,70.0608
Test03_OK_chg,충전,OK,273,0,0,1,1,1.1657,92.3217
Test03_OK_chg,충전,OK,274,0,0,0,1,0.4692,73.9937
Test03_OK_chg,충전,OK,275,0,0,1,1,0.1547,67.7775
Test03_OK_chg,충전,OK,276,0,0,0,1,0.4626,68.8928
Test03_OK_chg,충전,OK,277,0,0,0,1,0.3045,33.8027
Test03_OK_chg,충전,OK,278,0,0,1,1,0.1742,71.077
Test03_OK_chg,충전,OK,279,0,0,0,1,8.4204,32.4775
Test03_OK_chg,충전,OK,280,0,0,0,1,0.2136,73.4526
Test03_OK_chg,충전,OK,281,0,1,0,1,6.8116,32.7471
Test03_OK_chg,충전,OK,282,0,1,0,1,0.4216,33.8029
Test03_OK_chg,충전,OK,283,0,0,1,1,0.1632,79.8916
Test03_OK_chg,충전,OK,284,0,0,1,1,0.2067,70.932
Test03_OK_chg,충전,OK,285,0,0,0,1,0.6294,66.3196
Test03_OK_chg,충전,OK,286,0,0,0,1,0.2411,34.0921
Test03_OK_chg,충전,OK,287,0,0,0,1,0.3416,34.2314
Test03_OK_chg,충전,OK,288,0,1,0,1,1.0584,32.314
Test03_OK_chg,충전,OK,289,0,0,0,1,0.1395,79.7375
Test03_OK_chg,충전,OK,290,0,0,0,1,0.8889,76.4496
Test03_OK_chg,충전,OK,291,0,0,0,1,0.1987,77.4532
Test03_OK_chg,충전,OK,292,0,0,1,1,0.2041,68.3399
Test03_OK_chg,충전,OK,293,0,0,1,1,0.1676,33.0057
Test03_OK_chg,충전,OK,294,0,0,0,1,0.2259,78.198
Test03_OK_chg,충전,OK,295,0,0,0,1,0.3931,77.1968
Test03_OK_chg,충전,OK,296,0,0,0,1,0.7636,64.2273
Test03_OK_chg,충전,OK,297,0,0,1,1,0.1113,67.9686
Test03_OK_chg,충전,OK,298,0,0,1,1,0.1076,40.639
Test03_OK_chg,충전,OK,299,0,0,1,1,0.1436,79.8116
Test03_OK_chg,충전,OK,300,0,0,0,1,0.057,68.6597
Test03_OK_chg,충전,OK,301,0,1,0,0,0.3684,25.2883
Test03_OK_chg,충전,OK,302,0,0,0,0,0.4461,65.2549
Test03_OK_chg,충전,OK,303,0,0,1,0,0.0742,69.7175
Test03_OK_chg,충전,OK,304,0,0,0,0,0.5962,62.0193
Test03_OK_chg,충전,OK,305,0,0,0,0,0.3767,37.1153
Test03_OK_chg,충전,OK,306,0,0,0,0,0.7507,63.6008
Test03_OK_chg,충전,OK,307,0,1,0,0,1.0,25.932
Test03_OK_chg,충전,OK,308,0,0,1,1,0.1252,69.6466
Test03_OK_chg,충전,OK,309,0,0,1,1,0.0153,75.7888
Test03_OK_chg,충전,OK,310,0,0,0,1,0.5033,66.7075
Test03_OK_chg,충전,OK,311,0,0,0,1,2.1369,22.7097
Test03_OK_chg,충전,OK,312,0,0,0,1,0.1293,71.9453
Test03_OK_chg,충전,OK,313,0,1,1,1,1.5509,30.3852
Test03_OK_chg,충전,OK,314,0,0,1,1,0.5567,69.7426
Test03_OK_chg,충전,OK,315,0,0,1,1,0.443,70.4997
Test03_OK_chg,충전,OK,316,0,0,1,1,0.4239,65.3623
Test03_OK_chg,충전,OK,317,0,1,0,1,0.4781,28.8348
Test03_OK_chg,충전,OK,318,0,1,0,1,7.5344,28.995
Test03_OK_chg,충전,OK,319,0,0,0,1,0.2889,63.9046
Test03_OK_chg,충전,OK,320,0,1,0,1,0.7795,31.041
Test03_OK_chg,충전,OK,321,0,1,0,0,0.4767,24.919
Test03_OK_chg,충전,OK,322,0,1,1,0,0.3803,24.5391
Test03_OK_chg,충전,OK,323,0,0,0,1,0.2132,70.7009
Test03_OK_chg,충전,OK,324,0,0,0,1,0.1658,70.5582
Test03_OK_chg,충전,OK,325,0,0,1,1,0.1119,76.6787
Test03_OK_chg,충전,OK,326,0,0,0,1,20.4156,51.7597
Test03_OK_chg,충전,OK,327,0,0,0,1,0.463,62.2961
Test03_OK_chg,충전,OK,328,0,0,0,1,0.136,31.2934
Test03_OK_chg,충전,OK,329,0,0,0,1,1.0237,77.5813
Test03_OK_chg,충전,OK,330,0,1,1,1,0.7994,33.9208
Test03_OK_chg,충전,OK,331,0,0,1,1,0.6012,60.7407
Test03_OK_chg,충전,OK,332,0,0,1,1,0.0526,64.5157
Test03_OK_chg,충전,OK,333,0,0,0,1,0.0819,70.9876
Test03_OK_chg,충전,OK,334,0,0,1,1,0.4148,61.7159
Test03_OK_chg,충전,OK,335,0,0,1,1,0.3634,37.9436
Test03_OK_chg,충전,OK,336,0,1,1,1,1.7307,35.1302
Test03_OK_chg,충전,OK,337,0,0,1,1,0.1379,30.4885
Test03_OK_chg,충전,OK,338,0,0,0,1,0.1569,31.9273
Test03_OK_chg,충전,OK,339,0,0,0,1,0.3633,62.0864
Test03_OK_chg,충전,OK,340,0,0,0,1,0.152,31.9261
Test03_OK_chg,충전,OK,341,0,0,1,1,1.4502,72.7472
Test03_OK_chg,충전,OK,342,0,0,1,1,0.2853,61.7296
Test03_OK_chg,충전,OK,343,0,0,0,1,0.3295,66.6173
Test03_OK_chg,충전,OK,344,0,0,0,1,0.5113,68.9897
Test03_OK_chg,충전,OK,345,0,0,0,1,1.0074,61.7856
Test03_OK_chg,충전,OK,346,0,0,1,1,0.6786,76.7535
Test03_OK_chg,충전,OK,347,0,1,1,1,0.427,31.5501
Test03_OK_chg,충전,OK,348,0,0,1,1,0.8635,60.7343
Test03_OK_chg,충전,OK,349,0,0,1,1,0.0612,67.054
Test03_OK_chg,충전,OK,350,0,0,0,1,0.1044,71.4639
Test03_OK_chg,충전,OK,351,0,0,1,1,0.3942,56.961
Test03_OK_chg,충전,OK,352,0,0,0,1,1.1512,65.0526
Test03_OK_chg,충전,OK,353,0,0,0,1,1.2239,55.0501
Test03_OK_chg,충전,OK,354,0,0,0,1,0.4797,53.8404
Test03_OK_chg,충전,OK,355,0,0,0,1,0.0485,67.514
Test03_OK_chg,충전,OK,356,0,0,0,1,0.0791,66.2449
Test03_OK_chg,충전,OK,357,0,0,0,1,0.0459,67.4187
Test03_OK_chg,충전,OK,358,0,0,0,1,0.036,65.6516
Test03_OK_chg,충전,OK,359,0,0,1,1,0.0403,68.4594
Test03_OK_chg,충전,OK,360,0,1,0,1,1.4494,42.9589
Test03_OK_chg,충전,OK,361,0,0,0,1,0.2556,65.7381
Test03_OK_chg,충전,OK,362,0,0,0,1,0.2312,28.833
Test03_OK_chg,충전,OK,363,0,0,0,1,1.0337,73.2557
Test03_OK_chg,충전,OK,364,0,0,1,1,0.8782,57.8649
Test03_OK_chg,충전,OK,365,0,0,1,1,0.0882,63.7702
Test03_OK_chg,충전,OK,366,0,0,0,1,0.6623,61.3574
Test03_OK_chg,충전,OK,367,0,0,0,1,0.6731,61.363
Test03_OK_chg,충전,OK,368,0,0,0,1,0.0323,72.6614
Test03_OK_chg,충전,OK,369,0,0,0,1,1.9798,20.5358
Test03_OK_chg,충전,OK,370,0,0,0,1,0.1011,60.8872
Test03_OK_chg,충전,OK,371,0,0,0,1,0.136,59.4092
Test03_OK_chg,충전,OK,372,0,1,0,0,0.4356,25.0441
Test03_OK_chg,충전,OK,373,0,0,0,0,2.1473,22.3188
Test03_OK_chg,충전,OK,374,0,0,0,0,0.8992,59.1631
Test03_OK_chg,충전,OK,375,0,0,0,0,0.5694,62.0984
Test03_OK_chg,충전,OK,376,0,0,1,0,0.052,74.0881
Test03_OK_chg,충전,OK,377,0,1,0,0,0.34,26.7021
Test03_OK_chg,충전,OK,378,0,0,0,0,0.1582,72.6175
Test03_OK_chg,충전,OK,379,0,0,0,0,0.0683,62.5494
Test03_OK_chg,충전,OK,380,0,1,0,0,0.4429,23.875
Test03_OK_chg,충전,OK,381,0,0,0,0,0.178,60.9189
Test03_OK_chg,충전,OK,382,0,0,0,0,0.4113,57.3541
Test03_OK_chg,충전,OK,383,0,0,1,0,1.5607,24.3885
Test03_OK_chg,충전,OK,384,0,0,1,0,0.0665,61.0261
Test03_OK_chg,충전,OK,385,0,0,1,0,0.046,66.4027
Test03_OK_chg,충전,OK,386,0,0,0,0,1.0886,77.5466
